215	[['metal', '100']]
216	[['metal', '100']]
219	[['metal', '100']]
223	[['metal', '100']]
226	[['metal', '100']]
227	[['metal', '100']]
228	[['metal', '100']]
229	[['metal', '100']]
230	[['metal', '100']]
231	[['metal', '100']]
2011	[['electronic', '100']]
2634	[['instrumentalpop', '100'], ['folk', '100']]
2635	[['instrumentalpop', '100'], ['folk', '100']]
2636	[['instrumentalpop', '100'], ['folk', '100']]
2637	[['instrumentalpop', '100'], ['folk', '100']]
2639	[['instrumentalpop', '100'], ['folk', '100']]
2641	[['instrumentalpop', '100'], ['folk', '100']]
2644	[['instrumentalpop', '100'], ['folk', '100']]
2645	[['instrumentalpop', '100'], ['folk', '100']]
2652	[['instrumentalpop', '100'], ['folk', '100']]
2653	[['instrumentalpop', '100'], ['folk', '100']]
3112	[['electronic', '100']]
3437	[['metal', '100']]
3439	[['metal', '100']]
3442	[['metal', '100']]
3444	[['metal', '100']]
3445	[['metal', '100']]
3447	[['metal', '100']]
3448	[['metal', '100']]
3449	[['metal', '100']]
3451	[['metal', '100']]
3452	[['metal', '100']]
3453	[['metal', '100']]
3454	[['metal', '100']]
3516	[['electronic', '100'], ['techno', '100']]
3517	[['electronic', '100'], ['techno', '100']]
3518	[['house', '100'], ['electronic', '100'], ['techno', '100']]
3519	[['electronic', '100'], ['techno', '100']]
3520	[['electronic', '100'], ['techno', '100']]
3521	[['house', '100'], ['electronic', '100'], ['techno', '100']]
3522	[['house', '100'], ['electronic', '100'], ['techno', '100']]
3523	[['electronic', '100'], ['techno', '100']]
3524	[['electronic', '100'], ['techno', '100']]
3525	[['electronic', '100'], ['techno', '100'], ['ambient', '100']]
3526	[['electronic', '100'], ['techno', '100']]
4241	[['pop', '100'], ['popfolk', '100']]
4242	[['pop', '100'], ['popfolk', '100']]
4243	[['pop', '100'], ['popfolk', '100']]
4245	[['pop', '100'], ['popfolk', '100']]
4246	[['pop', '100']]
4247	[['pop', '100'], ['rock', '100']]
4248	[['pop', '100'], ['popfolk', '100']]
4249	[['pop', '100'], ['popfolk', '100']]
4251	[['pop', '100'], ['popfolk', '100']]
4880	[['funk', '100'], ['jazz', '100'], ['electronic', '100'], ['easylistening', '100'], ['lounge', '100']]
4882	[['jazz', '100'], ['electronic', '100'], ['easylistening', '100'], ['ambient', '100'], ['world', '100'], ['lounge', '100']]
4883	[['jazz', '100'], ['electronic', '100'], ['easylistening', '100'], ['world', '100'], ['lounge', '100']]
4884	[['world', '100'], ['jazz', '100']]
4887	[['lounge', '100'], ['electronic', '100'], ['jazz', '100'], ['easylistening', '100']]
4888	[['classical', '100'], ['jazz', '100'], ['electronic', '100'], ['easylistening', '100'], ['lounge', '100']]
4889	[['world', '100'], ['jazz', '100']]
4890	[['lounge', '100'], ['jazz', '100'], ['easylistening', '100']]
5083	[['lounge', '100'], ['electronic', '100'], ['jazz', '100'], ['easylistening', '100']]
5084	[['funk', '100'], ['jazz', '100'], ['electronic', '100'], ['easylistening', '100'], ['lounge', '100']]
5085	[['lounge', '100'], ['jazz', '100']]
5086	[['lounge', '100'], ['jazz', '100']]
5087	[['jazz', '100']]
5088	[['lounge', '100'], ['jazz', '100']]
5089	[['lounge', '100'], ['classical', '100'], ['jazz', '100']]
5090	[['jazz', '100']]
5139	[['pop', '100'], ['rock', '100']]
5140	[['pop', '100'], ['rock', '100']]
5141	[['pop', '100'], ['rock', '100']]
5142	[['pop', '100'], ['rock', '100']]
5143	[['pop', '100'], ['rock', '100']]
5144	[['pop', '100'], ['rock', '100']]
5145	[['pop', '100'], ['rock', '100']]
5146	[['pop', '100'], ['rock', '100']]
5147	[['pop', '100'], ['rock', '100']]
5244	[['experimental', '100'], ['alternative', '100'], ['electronic', '100']]
5339	[['electronic', '100']]
5340	[['electronic', '100'], ['lounge', '100'], ['easylistening', '100']]
5341	[['electronic', '100']]
5342	[['experimental', '100'], ['alternative', '100'], ['electronic', '100']]
5343	[['electronic', '100'], ['lounge', '100'], ['easylistening', '100']]
5344	[['electronic', '100'], ['triphop', '100']]
5345	[['electronic', '100'], ['lounge', '100'], ['easylistening', '100']]
5346	[['electronic', '100'], ['triphop', '100']]
5347	[['electronic', '100']]
5760	[['funk', '100']]
5983	[['experimental', '100'], ['alternative', '100'], ['electronic', '100']]
5991	[['experimental', '100'], ['alternative', '100'], ['electronic', '100']]
